Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.7605,1.666,P > 0.05,ns
  Burst Duration: Yan,0.7644,1.674,P > 0.05,ns
  Interburst Interval: TB,-0.7667,1.669,P > 0.05,ns
  Interburst Interval: Yan,-0.7719,1.680,P > 0.05,ns
  Intraburst Frequency: TB,-14.31,31.35,P<0.001,***
  Intraburst Frequency: Yan,-7.301,15.99,P<0.001,***
  Peaks per Burst: TB,23.91,52.38,P<0.001,***
  Peaks per Burst: Yan,15.73,34.45,P<0.001,***
  Total Cycle Time: TB,-0.006304,0.01372,P > 0.05,ns
  Total Cycle Time: Yan,-0.007839,0.01706,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,0.5957,-0.0002306,-1.611 to 1.610
  Burst Duration: Yan,1.012,2.089,1.077,-0.7806 to 2.934
  Interburst Interval: TB,3.134,1.274,-1.860,-3.478 to -0.2409
  Interburst Interval: Yan,2.716,1.632,-1.083,-2.953 to 0.7856
  Intraburst Frequency: TB,57.08,55.65,-1.428,-3.038 to 0.1826
  Intraburst Frequency: Yan,37.74,28.91,-8.835,-10.69 to -6.977
  Peaks per Burst: TB,34.01,32.20,-1.814,-3.424 to -0.2032
  Peaks per Burst: Yan,38.12,60.23,22.11,20.25 to 23.97
  Total Cycle Time: TB,3.730,1.870,-1.859,-3.478 to -0.2408
  Total Cycle Time: Yan,3.728,3.721,-0.006755,-1.876 to 1.862
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.0002306,0.0005825,P > 0.05,ns
  Burst Duration: Yan,1.077,2.359,P > 0.05,ns
  Interburst Interval: TB,-1.860,4.674,P<0.001,***
  Interburst Interval: Yan,-1.083,2.358,P > 0.05,ns
  Intraburst Frequency: TB,-1.428,3.607,P<0.01,**
  Intraburst Frequency: Yan,-8.835,19.35,P<0.001,***
  Peaks per Burst: TB,-1.814,4.582,P<0.001,***
  Peaks per Burst: Yan,22.11,48.43,P<0.001,***
  Total Cycle Time: TB,-1.859,4.674,P<0.001,***
  Total Cycle Time: Yan,-0.006755,0.01470,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
model/measure,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,0.3226,-0.2734,-2.131 to 1.584
  Burst Duration: Yan,1.012,0.3442,-0.6677,-2.525 to 1.190
  Interburst Interval: TB,3.134,3.406,0.2724,-1.597 to 2.142
  Interburst Interval: Yan,2.716,3.384,0.6687,-1.200 to 2.538
  Intraburst Frequency: TB,57.08,76.47,19.39,17.54 to 21.25
  Intraburst Frequency: Yan,37.74,74.72,36.98,35.12 to 38.83
  Peaks per Burst: TB,34.01,24.73,-9.284,-11.14 to -7.426
  Peaks per Burst: Yan,38.12,25.77,-12.36,-14.22 to -10.50
  Total Cycle Time: TB,3.730,3.729,-0.0009911,-1.870 to 1.868
  Total Cycle Time: Yan,3.728,3.729,0.0009749,-1.868 to 1.870
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.2734,0.5987,P > 0.05,ns
  Burst Duration: Yan,-0.6677,1.462,P > 0.05,ns
  Interburst Interval: TB,0.2724,0.5930,P > 0.05,ns
  Interburst Interval: Yan,0.6687,1.456,P > 0.05,ns
  Intraburst Frequency: TB,19.39,42.48,P<0.001,***
  Intraburst Frequency: Yan,36.98,80.99,P<0.001,***
  Peaks per Burst: TB,-9.284,20.33,P<0.001,***
  Peaks per Burst: Yan,-12.36,27.07,P<0.001,***
  Total Cycle Time: TB,-0.0009911,0.002157,P > 0.05,ns
  Total Cycle Time: Yan,0.0009749,0.002122,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,0.3720,-0.2239,-2.081 to 1.634
  Burst Duration: Yan,1.012,0.3965,-0.6154,-2.473 to 1.242
  Interburst Interval: TB,3.134,3.357,0.2231,-1.646 to 2.092
  Interburst Interval: Yan,2.716,3.332,0.6164,-1.253 to 2.486
  Intraburst Frequency: TB,57.08,90.60,33.52,31.67 to 35.38
  Intraburst Frequency: Yan,37.74,85.15,47.40,45.54 to 49.26
  Peaks per Burst: TB,34.01,33.74,-0.2716,-2.129 to 1.586
  Peaks per Burst: Yan,38.12,33.79,-4.333,-6.191 to -2.476
  Total Cycle Time: TB,3.730,3.729,-0.0009110,-1.870 to 1.868
  Total Cycle Time: Yan,3.728,3.729,0.0009708,-1.868 to 1.870
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.2239,0.4905,P > 0.05,ns
  Burst Duration: Yan,-0.6154,1.348,P > 0.05,ns
  Interburst Interval: TB,0.2231,0.4855,P > 0.05,ns
  Interburst Interval: Yan,0.6164,1.342,P > 0.05,ns
  Intraburst Frequency: TB,33.52,73.43,P<0.001,***
  Intraburst Frequency: Yan,47.40,103.8,P<0.001,***
  Peaks per Burst: TB,-0.2716,0.5949,P > 0.05,ns
  Peaks per Burst: Yan,-4.333,9.491,P<0.001,***
  Total Cycle Time: TB,-0.0009110,0.001983,P > 0.05,ns
  Total Cycle Time: Yan,0.0009708,0.002113,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,0.4263,-0.1697,-2.027 to 1.688
  Burst Duration: Yan,1.012,0.4546,-0.5573,-2.415 to 1.300
  Interburst Interval: TB,3.134,3.302,0.1687,-1.700 to 2.038
  Interburst Interval: Yan,2.716,3.274,0.5578,-1.311 to 2.427
  Intraburst Frequency: TB,57.08,97.89,40.81,38.95 to 42.67
  Intraburst Frequency: Yan,37.74,91.92,54.17,52.32 to 56.03
  Peaks per Burst: TB,34.01,41.75,7.741,5.883 to 9.598
  Peaks per Burst: Yan,38.12,41.80,3.679,1.821 to 5.537
  Total Cycle Time: TB,3.730,3.729,-0.0009551,-1.870 to 1.868
