Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Total Cycle Time: TB,3.729,3.727,-0.002090,-1.871 to 1.867
  Total Cycle Time: Yan,3.729,3.721,-0.007280,-1.876 to 1.862
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.2349,0.5145,P > 0.05,ns
  Burst Duration: Yan,0.5785,1.267,P > 0.05,ns
  Interburst Interval: TB,-0.2370,0.5158,P > 0.05,ns
  Interburst Interval: Yan,-0.5857,1.275,P > 0.05,ns
  Intraburst Frequency: TB,26.25,57.49,P<0.001,***
  Intraburst Frequency: Yan,-4.240,9.286,P<0.001,***
  Peaks per Burst: TB,33.84,74.12,P<0.001,***
  Peaks per Burst: Yan,38.89,85.18,P<0.001,***
  Total Cycle Time: TB,-0.002090,0.004549,P > 0.05,ns
  Total Cycle Time: Yan,-0.007280,0.01585,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
model/measure,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,0.4720,0.8476,0.3756,-1.482 to 2.233
  Burst Duration: Yan,0.6454,1.269,0.6233,-1.234 to 2.481
  Interburst Interval: TB,3.256,2.876,-0.3796,-2.249 to 1.490
  Interburst Interval: Yan,3.080,2.451,-0.6293,-2.498 to 1.240
  Intraburst Frequency: TB,78.03,58.91,-19.12,-20.97 to -17.26
  Intraburst Frequency: Yan,58.91,37.26,-21.65,-23.50 to -19.79
  Peaks per Burst: TB,36.84,49.81,12.98,11.12 to 14.83
  Peaks per Burst: Yan,37.95,46.99,9.037,7.180 to 10.89
  Total Cycle Time: TB,3.728,3.724,-0.004075,-1.873 to 1.865
  Total Cycle Time: Yan,3.726,3.720,-0.006086,-1.875 to 1.863
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.3756,0.8226,P > 0.05,ns
  Burst Duration: Yan,0.6233,1.365,P > 0.05,ns
  Interburst Interval: TB,-0.3796,0.8263,P > 0.05,ns
  Interburst Interval: Yan,-0.6293,1.370,P > 0.05,ns
  Intraburst Frequency: TB,-19.12,41.87,P<0.001,***
  Intraburst Frequency: Yan,-21.65,47.41,P<0.001,***
  Peaks per Burst: TB,12.98,28.42,P<0.001,***
  Peaks per Burst: Yan,9.037,19.79,P<0.001,***
  Total Cycle Time: TB,-0.004075,0.008870,P > 0.05,ns
  Total Cycle Time: Yan,-0.006086,0.01325,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
model/measure,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.4720,1.356,0.8844,-0.9731 to 2.742
  Burst Duration: Yan,0.6454,1.776,1.131,-0.7267 to 2.988
  Interburst Interval: TB,3.256,2.367,-0.8887,-2.758 to 0.9804
  Interburst Interval: Yan,3.080,1.944,-1.136,-3.005 to 0.7328
  Intraburst Frequency: TB,78.03,42.76,-35.26,-37.12 to -33.41
  Intraburst Frequency: Yan,58.91,30.44,-28.46,-30.32 to -26.61
  Peaks per Burst: TB,36.84,57.93,21.09,19.23 to 22.94
  Peaks per Burst: Yan,37.95,53.85,15.90,14.04 to 17.76
  Total Cycle Time: TB,3.728,3.723,-0.004382,-1.873 to 1.865
  Total Cycle Time: Yan,3.726,3.720,-0.005740,-1.875 to 1.863
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.8844,1.937,P > 0.05,ns
  Burst Duration: Yan,1.131,2.477,P > 0.05,ns
  Interburst Interval: TB,-0.8887,1.935,P > 0.05,ns
  Interburst Interval: Yan,-1.136,2.474,P > 0.05,ns
  Intraburst Frequency: TB,-35.26,77.24,P<0.001,***
  Intraburst Frequency: Yan,-28.46,62.34,P<0.001,***
  Peaks per Burst: TB,21.09,46.18,P<0.001,***
  Peaks per Burst: Yan,15.90,34.83,P<0.001,***
  Total Cycle Time: TB,-0.004382,0.009538,P > 0.05,ns
  Total Cycle Time: Yan,-0.005740,0.01249,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
model/measure,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.4720,0.5957,0.1237,-1.487 to 1.734
  Burst Duration: Yan,0.6454,2.089,1.443,-0.4142 to 3.301
  Interburst Interval: TB,3.256,1.274,-1.982,-3.600 to -0.3629
  Interburst Interval: Yan,3.080,1.632,-1.448,-3.317 to 0.4212
  Intraburst Frequency: TB,78.03,55.65,-22.38,-23.99 to -20.77
  Intraburst Frequency: Yan,58.91,28.91,-30.00,-31.86 to -28.14
  Peaks per Burst: TB,36.84,32.20,-4.641,-6.251 to -3.030
  Peaks per Burst: Yan,37.95,60.23,22.28,20.43 to 24.14
  Total Cycle Time: TB,3.728,1.870,-1.858,-3.476 to -0.2389
  Total Cycle Time: Yan,3.726,3.721,-0.004656,-1.874 to 1.864
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.1237,0.3126,P > 0.05,ns
  Burst Duration: Yan,1.443,3.161,P < 0.05,*
  Interburst Interval: TB,-1.982,4.981,P<0.001,***
  Interburst Interval: Yan,-1.448,3.152,P < 0.05,*
  Intraburst Frequency: TB,-22.38,56.54,P<0.001,***
  Intraburst Frequency: Yan,-30.00,65.71,P<0.001,***
  Peaks per Burst: TB,-4.641,11.72,P<0.001,***
  Peaks per Burst: Yan,22.28,48.81,P<0.001,***
  Total Cycle Time: TB,-1.858,4.669,P<0.001,***
  Total Cycle Time: Yan,-0.004656,0.01013,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
model/measure,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,0.4720,0.3226,-0.1494,-2.007 to 1.708
  Burst Duration: Yan,0.6454,0.3442,-0.3012,-2.159 to 1.556
  Interburst Interval: TB,3.256,3.406,0.1504,-1.719 to 2.019
  Interburst Interval: Yan,3.080,3.384,0.3042,-1.565 to 2.173
  Intraburst Frequency: TB,78.03,76.47,-1.557,-3.414 to 0.3007
  Intraburst Frequency: Yan,58.91,74.72,15.81,13.96 to 17.67
  Peaks per Burst: TB,36.84,24.73,-12.11,-13.97 to -10.25
  Peaks per Burst: Yan,37.95,25.77,-12.19,-14.04 to -10.33
  Total Cycle Time: TB,3.728,3.729,0.0009310,-1.868 to 1.870
  Total Cycle Time: Yan,3.726,3.729,0.003074,-1.866 to 1.872
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.1494,0.3273,P > 0.05,ns
  Burst Duration: Yan,-0.3012,0.6597,P > 0.05,ns
  Interburst Interval: TB,0.1504,0.3273,P > 0.05,ns
  Interburst Interval: Yan,0.3042,0.6622,P > 0.05,ns
  Intraburst Frequency: TB,-1.557,3.410,P<0.01,**
  Intraburst Frequency: Yan,15.81,34.64,P<0.001,***
  Peaks per Burst: TB,-12.11,26.53,P<0.001,***
  Peaks per Burst: Yan,-12.19,26.69,P<0.001,***
  Total Cycle Time: TB,0.0009310,0.002027,P > 0.05,ns
  Total Cycle Time: Yan,0.003074,0.006691,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,0.4720,0.3720,-0.1000,-1.958 to 1.758
  Burst Duration: Yan,0.6454,0.3965,-0.2489,-2.106 to 1.609
  Interburst Interval: TB,3.256,3.357,0.1010,-1.768 to 1.970
  Interburst Interval: Yan,3.080,3.332,0.2519,-1.617 to 2.121
  Intraburst Frequency: TB,78.03,90.60,12.57,10.72 to 14.43
  Intraburst Frequency: Yan,58.91,85.15,26.24,24.38 to 28.10
  Peaks per Burst: TB,36.84,33.74,-3.099,-4.956 to -1.241
  Peaks per Burst: Yan,37.95,33.79,-4.161,-6.018 to -2.303
  Total Cycle Time: TB,3.728,3.729,0.001011,-1.868 to 1.870
  Total Cycle Time: Yan,3.726,3.729,0.003070,-1.866 to 1.872
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.1000,0.2190,P > 0.05,ns
  Burst Duration: Yan,-0.2489,0.5451,P > 0.05,ns
  Interburst Interval: TB,0.1010,0.2199,P > 0.05,ns
  Interburst Interval: Yan,0.2519,0.5484,P > 0.05,ns
  Intraburst Frequency: TB,12.57,27.54,P<0.001,***
  Intraburst Frequency: Yan,26.24,57.47,P<0.001,***
  Peaks per Burst: TB,-3.099,6.787,P<0.001,***
  Peaks per Burst: Yan,-4.161,9.113,P<0.001,***
  Total Cycle Time: TB,0.001011,0.002201,P > 0.05,ns
  Total Cycle Time: Yan,0.003070,0.006682,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,0.4720,0.4263,-0.04573,-1.903 to 1.812
  Burst Duration: Yan,0.6454,0.4546,-0.1909,-2.048 to 1.667
  Interburst Interval: TB,3.256,3.302,0.04669,-1.822 to 1.916
  Interburst Interval: Yan,3.080,3.274,0.1933,-1.676 to 2.062
  Intraburst Frequency: TB,78.03,97.89,19.86,18.00 to 21.72
  Intraburst Frequency: Yan,58.91,91.92,33.01,31.15 to 34.87
  Peaks per Burst: TB,36.84,41.75,4.914,3.056 to 6.771
  Peaks per Burst: Yan,37.95,41.80,3.852,1.994 to 5.709
  Total Cycle Time: TB,3.728,3.729,0.0009670,-1.868 to 1.870
  Total Cycle Time: Yan,3.726,3.728,0.002449,-1.867 to 1.872
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.04573,0.1002,P > 0.05,ns
  Burst Duration: Yan,-0.1909,0.4181,P > 0.05,ns
  Interburst Interval: TB,0.04669,0.1016,P > 0.05,ns
  Interburst Interval: Yan,0.1933,0.4208,P > 0.05,ns
  Intraburst Frequency: TB,19.86,43.50,P<0.001,***
  Intraburst Frequency: Yan,33.01,72.30,P<0.001,***
  Peaks per Burst: TB,4.914,10.76,P<0.001,***
  Peaks per Burst: Yan,3.852,8.437,P<0.001,***
  Total Cycle Time: TB,0.0009670,0.002105,P > 0.05,ns
  Total Cycle Time: Yan,0.002449,0.005331,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.4720,0.5028,0.03077,-1.827 to 1.888
  Burst Duration: Yan,0.6454,0.6621,0.01663,-1.841 to 1.874
  Interburst Interval: TB,3.256,3.226,-0.03005,-1.899 to 1.839
  Interburst Interval: Yan,3.080,3.064,-0.01653,-1.886 to 1.853
  Intraburst Frequency: TB,78.03,99.97,21.95,20.09 to 23.80
  Intraburst Frequency: Yan,58.91,83.34,24.44,22.58 to 26.29
  Peaks per Burst: TB,36.84,50.23,13.40,11.54 to 15.25
  Peaks per Burst: Yan,37.95,55.12,17.17,15.32 to 19.03
  Total Cycle Time: TB,3.728,3.728,0.0005660,-1.869 to 1.870
  Total Cycle Time: Yan,3.726,3.725,-0.0001509,-1.869 to 1.869
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.03077,0.06740,P > 0.05,ns
  Burst Duration: Yan,0.01663,0.03643,P > 0.05,ns
  Interburst Interval: TB,-0.03005,0.06542,P > 0.05,ns
  Interburst Interval: Yan,-0.01653,0.03597,P > 0.05,ns
  Intraburst Frequency: TB,21.95,48.07,P<0.001,***
  Intraburst Frequency: Yan,24.44,53.52,P<0.001,***
  Peaks per Burst: TB,13.40,29.34,P<0.001,***
  Peaks per Burst: Yan,17.17,37.61,P<0.001,***
  Total Cycle Time: TB,0.0005660,0.001232,P > 0.05,ns
  Total Cycle Time: Yan,-0.0001509,0.0003285,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.4720,0.6209,0.1488,-1.709 to 2.006
  Burst Duration: Yan,0.6454,0.9662,0.3208,-1.537 to 2.178
  Interburst Interval: TB,3.256,3.106,-0.1499,-2.019 to 1.719
  Interburst Interval: Yan,3.080,2.755,-0.3250,-2.194 to 1.544
  Intraburst Frequency: TB,78.03,100.9,22.88,21.02 to 24.73
  Intraburst Frequency: Yan,58.91,70.30,11.39,9.534 to 13.25
  Peaks per Burst: TB,36.84,62.67,25.83,23.97 to 27.68
  Peaks per Burst: Yan,37.95,67.79,29.84,27.98 to 31.70
  Total Cycle Time: TB,3.728,3.727,-0.001072,-1.870 to 1.868
  Total Cycle Time: Yan,3.726,3.721,-0.004295,-1.873 to 1.865
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.1488,0.3260,P > 0.05,ns
  Burst Duration: Yan,0.3208,0.7026,P > 0.05,ns
  Interburst Interval: TB,-0.1499,0.3263,P > 0.05,ns
  Interburst Interval: Yan,-0.3250,0.7075,P > 0.05,ns
  Intraburst Frequency: TB,22.88,50.11,P<0.001,***
  Intraburst Frequency: Yan,11.39,24.95,P<0.001,***
  Peaks per Burst: TB,25.83,56.57,P<0.001,***
  Peaks per Burst: Yan,29.84,65.36,P<0.001,***
  Total Cycle Time: TB,-0.001072,0.002333,P > 0.05,ns
  Total Cycle Time: Yan,-0.004295,0.009349,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
model/measure,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.8476,1.356,0.5088,-1.349 to 2.366
  Burst Duration: Yan,1.269,1.776,0.5075,-1.350 to 2.365
  Interburst Interval: TB,2.876,2.367,-0.5091,-2.378 to 1.360
  Interburst Interval: Yan,2.451,1.944,-0.5070,-2.376 to 1.362
  Intraburst Frequency: TB,58.91,42.76,-16.15,-18.01 to -14.29
  Intraburst Frequency: Yan,37.26,30.44,-6.819,-8.677 to -4.962
  Peaks per Burst: TB,49.81,57.93,8.111,6.254 to 9.969
  Peaks per Burst: Yan,46.99,53.85,6.864,5.007 to 8.722
  Total Cycle Time: TB,3.724,3.723,-0.0003071,-1.869 to 1.869
  Total Cycle Time: Yan,3.720,3.720,0.0003462,-1.869 to 1.869
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.5088,1.114,P > 0.05,ns
  Burst Duration: Yan,0.5075,1.112,P > 0.05,ns
  Interburst Interval: TB,-0.5091,1.108,P > 0.05,ns
  Interburst Interval: Yan,-0.5070,1.104,P > 0.05,ns
  Intraburst Frequency: TB,-16.15,35.37,P<0.001,***
  Intraburst Frequency: Yan,-6.819,14.94,P<0.001,***
  Peaks per Burst: TB,8.111,17.77,P<0.001,***
  Peaks per Burst: Yan,6.864,15.03,P<0.001,***
  Total Cycle Time: TB,-0.0003071,0.0006684,P > 0.05,ns
  Total Cycle Time: Yan,0.0003462,0.0007535,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
model/measure,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.8476,0.5957,-0.2518,-1.862 to 1.358
  Burst Duration: Yan,1.269,2.089,0.8200,-1.038 to 2.678
  Interburst Interval: TB,2.876,1.274,-1.602,-3.221 to 0.01669
  Interburst Interval: Yan,2.451,1.632,-0.8186,-2.688 to 1.051
  Intraburst Frequency: TB,58.91,55.65,-3.263,-4.874 to -1.653
  Intraburst Frequency: Yan,37.26,28.91,-8.354,-10.21 to -6.496
  Peaks per Burst: TB,49.81,32.20,-17.62,-19.23 to -16.01
  Peaks per Burst: Yan,46.99,60.23,13.25,11.39 to 15.10
  Total Cycle Time: TB,3.724,1.870,-1.853,-3.472 to -0.2348
  Total Cycle Time: Yan,3.720,3.721,0.001430,-1.868 to 1.871
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.2518,0.6363,P > 0.05,ns
  Burst Duration: Yan,0.8200,1.796,P > 0.05,ns
  Interburst Interval: TB,-1.602,4.027,P<0.001,***
  Interburst Interval: Yan,-0.8186,1.782,P > 0.05,ns
  Intraburst Frequency: TB,-3.263,8.245,P<0.001,***
  Intraburst Frequency: Yan,-8.354,18.30,P<0.001,***
  Peaks per Burst: TB,-17.62,44.51,P<0.001,***
  Peaks per Burst: Yan,13.25,29.01,P<0.001,***
  Total Cycle Time: TB,-1.853,4.659,P<0.001,***
  Total Cycle Time: Yan,0.001430,0.003113,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
model/measure,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,0.8476,0.3226,-0.5250,-2.383 to 1.333
  Burst Duration: Yan,1.269,0.3442,-0.9245,-2.782 to 0.9330
  Interburst Interval: TB,2.876,3.406,0.5300,-1.339 to 2.399
  Interburst Interval: Yan,2.451,3.384,0.9336,-0.9355 to 2.803
  Intraburst Frequency: TB,58.91,76.47,17.56,15.70 to 19.42
  Intraburst Frequency: Yan,37.26,74.72,37.46,35.60 to 39.32
  Peaks per Burst: TB,49.81,24.73,-25.09,-26.94 to -23.23
  Peaks per Burst: Yan,46.99,25.77,-21.22,-23.08 to -19.36
  Total Cycle Time: TB,3.724,3.729,0.005006,-1.864 to 1.874
  Total Cycle Time: Yan,3.720,3.729,0.009160,-1.860 to 1.878
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.5250,1.150,P > 0.05,ns
  Burst Duration: Yan,-0.9245,2.025,P > 0.05,ns
  Interburst Interval: TB,0.5300,1.154,P > 0.05,ns
  Interburst Interval: Yan,0.9336,2.032,P > 0.05,ns
  Intraburst Frequency: TB,17.56,38.46,P<0.001,***
  Intraburst Frequency: Yan,37.46,82.04,P<0.001,***
  Peaks per Burst: TB,-25.09,54.95,P<0.001,***
  Peaks per Burst: Yan,-21.22,46.48,P<0.001,***
  Total Cycle Time: TB,0.005006,0.01090,P > 0.05,ns
  Total Cycle Time: Yan,0.009160,0.01994,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,0.8476,0.3720,-0.4756,-2.333 to 1.382
  Burst Duration: Yan,1.269,0.3965,-0.8722,-2.730 to 0.9853
  Interburst Interval: TB,2.876,3.357,0.4806,-1.389 to 2.350
  Interburst Interval: Yan,2.451,3.332,0.8813,-0.9878 to 2.750
  Intraburst Frequency: TB,58.91,90.60,31.69,29.83 to 33.55
  Intraburst Frequency: Yan,37.26,85.15,47.88,46.03 to 49.74
  Peaks per Burst: TB,49.81,33.74,-16.07,-17.93 to -14.22
  Peaks per Burst: Yan,46.99,33.79,-13.20,-15.06 to -11.34
  Total Cycle Time: TB,3.724,3.729,0.005086,-1.864 to 1.874
  Total Cycle Time: Yan,3.720,3.729,0.009156,-1.860 to 1.878
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.4756,1.042,P > 0.05,ns
  Burst Duration: Yan,-0.8722,1.910,P > 0.05,ns
  Interburst Interval: TB,0.4806,1.046,P > 0.05,ns
  Interburst Interval: Yan,0.8813,1.918,P > 0.05,ns
  Intraburst Frequency: TB,31.69,69.41,P<0.001,***
  Intraburst Frequency: Yan,47.88,104.9,P<0.001,***
  Peaks per Burst: TB,-16.07,35.21,P<0.001,***
  Peaks per Burst: Yan,-13.20,28.91,P<0.001,***
  Total Cycle Time: TB,0.005086,0.01107,P > 0.05,ns
  Total Cycle Time: Yan,0.009156,0.01993,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,0.8476,0.4263,-0.4213,-2.279 to 1.436
  Burst Duration: Yan,1.269,0.4546,-0.8142,-2.672 to 1.043
  Interburst Interval: TB,2.876,3.302,0.4263,-1.443 to 2.295
  Interburst Interval: Yan,2.451,3.274,0.8227,-1.046 to 2.692
  Intraburst Frequency: TB,58.91,97.89,38.97,37.12 to 40.83
  Intraburst Frequency: Yan,37.26,91.92,54.66,52.80 to 56.51
  Peaks per Burst: TB,49.81,41.75,-8.062,-9.919 to -6.204
  Peaks per Burst: Yan,46.99,41.80,-5.185,-7.043 to -3.328
  Total Cycle Time: TB,3.724,3.729,0.005042,-1.864 to 1.874
  Total Cycle Time: Yan,3.720,3.728,0.008535,-1.861 to 1.878
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.4213,0.9227,P > 0.05,ns
  Burst Duration: Yan,-0.8142,1.783,P > 0.05,ns
  Interburst Interval: TB,0.4263,0.9279,P > 0.05,ns
  Interburst Interval: Yan,0.8227,1.791,P > 0.05,ns
  Intraburst Frequency: TB,38.97,85.36,P<0.001,***
  Intraburst Frequency: Yan,54.66,119.7,P<0.001,***
  Peaks per Burst: TB,-8.062,17.66,P<0.001,***
  Peaks per Burst: Yan,-5.185,11.36,P<0.001,***
  Total Cycle Time: TB,0.005042,0.01097,P > 0.05,ns
  Total Cycle Time: Yan,0.008535,0.01858,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.8476,0.5028,-0.3448,-2.202 to 1.513
  Burst Duration: Yan,1.269,0.6621,-0.6067,-2.464 to 1.251
  Interburst Interval: TB,2.876,3.226,0.3495,-1.520 to 2.219
  Interburst Interval: Yan,2.451,3.064,0.6128,-1.256 to 2.482
  Intraburst Frequency: TB,58.91,99.97,41.06,39.20 to 42.92
  Intraburst Frequency: Yan,37.26,83.34,46.08,44.22 to 47.94
  Peaks per Burst: TB,49.81,50.23,0.4198,-1.438 to 2.277
  Peaks per Burst: Yan,46.99,55.12,8.136,6.278 to 9.993
  Total Cycle Time: TB,3.724,3.728,0.004641,-1.864 to 1.874
  Total Cycle Time: Yan,3.720,3.725,0.005935,-1.863 to 1.875
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.3448,0.7552,P > 0.05,ns
  Burst Duration: Yan,-0.6067,1.329,P > 0.05,ns
  Interburst Interval: TB,0.3495,0.7608,P > 0.05,ns
  Interburst Interval: Yan,0.6128,1.334,P > 0.05,ns
  Intraburst Frequency: TB,41.06,89.93,P<0.001,***
  Intraburst Frequency: Yan,46.08,100.9,P<0.001,***
  Peaks per Burst: TB,0.4198,0.9194,P > 0.05,ns
  Peaks per Burst: Yan,8.136,17.82,P<0.001,***
  Total Cycle Time: TB,0.004641,0.01010,P > 0.05,ns
  Total Cycle Time: Yan,0.005935,0.01292,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.8476,0.6209,-0.2267,-2.084 to 1.631
  Burst Duration: Yan,1.269,0.9662,-0.3025,-2.160 to 1.555
  Interburst Interval: TB,2.876,3.106,0.2297,-1.639 to 2.099
  Interburst Interval: Yan,2.451,2.755,0.3043,-1.565 to 2.173
  Intraburst Frequency: TB,58.91,100.9,41.99,40.13 to 43.85
  Intraburst Frequency: Yan,37.26,70.30,33.04,31.18 to 34.89
  Peaks per Burst: TB,49.81,62.67,12.85,10.99 to 14.71
  Peaks per Burst: Yan,46.99,67.79,20.80,18.94 to 22.66
  Total Cycle Time: TB,3.724,3.727,0.003003,-1.866 to 1.872
  Total Cycle Time: Yan,3.720,3.721,0.001791,-1.867 to 1.871
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.2267,0.4966,P > 0.05,ns
  Burst Duration: Yan,-0.3025,0.6626,P > 0.05,ns
  Interburst Interval: TB,0.2297,0.5000,P > 0.05,ns
  Interburst Interval: Yan,0.3043,0.6624,P > 0.05,ns
  Intraburst Frequency: TB,41.99,91.97,P<0.001,***
  Intraburst Frequency: Yan,33.04,72.36,P<0.001,***
  Peaks per Burst: TB,12.85,28.15,P<0.001,***
  Peaks per Burst: Yan,20.80,45.56,P<0.001,***
  Total Cycle Time: TB,0.003003,0.006536,P > 0.05,ns
  Total Cycle Time: Yan,0.001791,0.003898,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
model/measure,eL=-60.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,1.356,0.5957,-0.7607,-2.371 to 0.8497
  Burst Duration: Yan,1.776,2.089,0.3125,-1.545 to 2.170
  Interburst Interval: TB,2.367,1.274,-1.093,-2.712 to 0.5258
  Interburst Interval: Yan,1.944,1.632,-0.3116,-2.181 to 1.558
  Intraburst Frequency: TB,42.76,55.65,12.89,11.28 to 14.50
  Intraburst Frequency: Yan,30.44,28.91,-1.534,-3.392 to 0.3233
  Peaks per Burst: TB,57.93,32.20,-25.73,-27.34 to -24.12
  Peaks per Burst: Yan,53.85,60.23,6.383,4.525 to 8.240
  Total Cycle Time: TB,3.723,1.870,-1.853,-3.472 to -0.2345
  Total Cycle Time: Yan,3.720,3.721,0.001084,-1.868 to 1.870
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.7607,1.922,P > 0.05,ns
  Burst Duration: Yan,0.3125,0.6844,P > 0.05,ns
  Interburst Interval: TB,-1.093,2.747,P > 0.05,ns
  Interburst Interval: Yan,-0.3116,0.6782,P > 0.05,ns
  Intraburst Frequency: TB,12.89,32.55,P<0.001,***
  Intraburst Frequency: Yan,-1.534,3.360,P<0.01,**
  Peaks per Burst: TB,-25.73,65.00,P<0.001,***
  Peaks per Burst: Yan,6.383,13.98,P<0.001,***
  Total Cycle Time: TB,-1.853,4.658,P<0.001,***
  Total Cycle Time: Yan,0.001084,0.002359,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
model/measure,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,1.356,0.3226,-1.034,-2.891 to 0.8237
  Burst Duration: Yan,1.776,0.3442,-1.432,-3.290 to 0.4255
  Interburst Interval: TB,2.367,3.406,1.039,-0.8300 to 2.908
  Interburst Interval: Yan,1.944,3.384,1.441,-0.4285 to 3.310
  Intraburst Frequency: TB,42.76,76.47,33.71,31.85 to 35.56
  Intraburst Frequency: Yan,30.44,74.72,44.28,42.42 to 46.14
  Peaks per Burst: TB,57.93,24.73,-33.20,-35.06 to -31.34
  Peaks per Burst: Yan,53.85,25.77,-28.09,-29.94 to -26.23
  Total Cycle Time: TB,3.723,3.729,0.005313,-1.864 to 1.874
  Total Cycle Time: Yan,3.720,3.729,0.008814,-1.860 to 1.878
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.034,2.264,P > 0.05,ns
  Burst Duration: Yan,-1.432,3.137,P < 0.05,*
