,TB,Yan
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,0.2902,1.607
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,2.504,0.8659
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,11.13,12.37
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,7.122,7.763
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,4.269,4.921
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,0.9404,2.656
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,1.277,0.1860
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,4.169,4.827
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,7.034,7.687
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,10.25,9.887
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,12.30,12.20
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,2.902,2.906
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,6.204,5.171
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,8.343,7.580
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,3.336,2.284
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,5.520,4.735
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,2.214,2.470
