,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-60.0 gnaps1.8 vs eL-65.0 gnaps4.2,0.08,0.2787,0.9363557262530766,0.7809015179860388,False,False
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.0,0.156,0.233,0.8762660534399691,0.8161143051823623,False,False
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.6,0.1677,0.2197,0.8670702557044371,0.8264366587389623,False,False
eL-60.0 gnaps2.4 vs eL-60.0 gnaps4.2,82.11,0.1782,4.102831964496075e-117,0.858833038097328,True,False
eL-60.0 gnaps2.4 vs eL-65.0 gnaps1.8,0.03564,0.1177,0.971622057692711,0.9064803030435815,False,False
eL-60.0 gnaps2.4 vs eL-65.0 gnaps2.4,0.03871,0.1175,0.9691787863054984,0.9066384790587128,False,False
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.0,0.03702,0.09375,0.9705237446422355,0.9254467464753032,False,False
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.6,0.02167,0.005777,0.982743191073054,0.9953991745835381,False,False
eL-60.0 gnaps2.4 vs eL-65.0 gnaps4.2,0.04103,0.1644,0.9673325981049353,0.8696621573512656,False,False
eL-60.0 gnaps3.0 vs eL-60.0 gnaps3.6,0.01175,0.01325,0.9906424184809511,0.9894479000440903,False,False
eL-60.0 gnaps3.0 vs eL-60.0 gnaps4.2,81.93,0.05474,5.485788638486354e-117,0.956426528644275,True,False
eL-60.0 gnaps3.0 vs eL-65.0 gnaps1.8,0.1916,0.3506,0.8483434222552013,0.7264349290563137,False,False
eL-60.0 gnaps3.0 vs eL-65.0 gnaps2.4,0.1947,0.3505,0.8459205117708128,0.7265097918761996,False,False
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.0,0.193,0.3267,0.8472490237355528,0.7444007654783812,False,False
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.6,0.1776,0.2272,0.8593033268624907,0.8206119303721461,False,False
eL-60.0 gnaps3.0 vs eL-65.0 gnaps4.2,0.1149,0.06856,0.9086951057019452,0.9454413031383473,False,False
eL-60.0 gnaps3.6 vs eL-60.0 gnaps4.2,81.91,0.04149,5.665950384692068e-117,0.9669665642607707,True,False
eL-60.0 gnaps3.6 vs eL-65.0 gnaps1.8,0.2034,0.3374,0.8391286674809955,0.7363394077231513,False,False
eL-60.0 gnaps3.6 vs eL-65.0 gnaps2.4,0.2064,0.3372,0.8367894311402614,0.7364898216929572,False,False
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.0,0.2048,0.3135,0.8380368436717397,0.7543846792391277,False,False
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.6,0.1894,0.2139,0.8500637879825061,0.8309477645047115,False,False
eL-60.0 gnaps3.6 vs eL-65.0 gnaps4.2,0.1267,0.05531,0.8993663595450663,0.9559732676582984,False,False
eL-60.0 gnaps4.2 vs eL-65.0 gnaps1.8,82.15,0.2959,3.846673310876792e-117,0.7677611215338728,True,False
eL-60.0 gnaps4.2 vs eL-65.0 gnaps2.4,82.15,0.2957,3.846673310876792e-117,0.7679135378301442,True,False
