,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps4.2 vs eL-65.0 gnaps4.2,1.723,1.175,0.08652410307437323,0.24147290517015835,False,False
eL-60.0 gnaps1.8 vs eL-60.0 gnaps2.4,3.955,3.592,0.00010814344065508078,0.00041836468406371616,True,False
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.0,6.663,7.391,2.8523528497079926e-10,4.574674344265143e-12,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.6,8.206,9.033,3.467270751134646e-14,1.9487402683850526e-16,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps4.2,9.383,10.03,2.0539334356097065e-17,2.9792730742688874e-19,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps1.8,1.838,2.48,0.06763212773176401,0.01401304632877723,False,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps2.4,2.338,2.359,0.020433364902373206,0.01934480898609331,False,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.0,5.224,5.248,4.600200000674156e-07,4.1067651215629904e-07,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.6,8.482,7.486,6.295000909010699e-15,2.623351942188208e-12,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps4.2,10.58,9.85,7.654325665047806e-21,9.758821446442441e-19,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.0,2.743,3.849,0.0066738513968787085,0.000162167757560164,False,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.6,4.321,5.533,2.5076904412707823e-05,1.0391892647749173e-07,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps4.2,5.533,6.561,1.0391892647749173e-07,4.991637692491551e-10,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps1.8,5.776,6.05,3.1000679247048476e-08,7.614626416889733e-09,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps2.4,1.624,1.238,0.10604240312240283,0.21725169023031093,False,False
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.0,1.282,1.672,0.20141298448197323,0.09617902182899907,False,False
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.6,4.606,3.947,7.5281950168583805e-06,0.00011153351750122018,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps4.2,6.772,6.376,1.559885347948232e-10,1.3595042980487285e-09,True,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps3.6,1.589,1.705,0.11373180367410625,0.08983749582279024,False,False
eL-60.0 gnaps3.0 vs eL-60.0 gnaps4.2,2.816,2.754,0.005378519911875805,0.006462107439555213,False,False
eL-60.0 gnaps3.0 vs eL-65.0 gnaps1.8,8.457,9.794,7.354435180357898e-15,1.4097391485616082e-18,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps2.4,4.357,5.074,2.1607782480039264e-05,9.273076327996614e-07,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.0,1.464,2.186,0.1448551954396413,0.03004451722282312,False,False
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.6,1.878,0.0979,0.06192127510845522,0.9221154459674449,False,False
eL-60.0 gnaps3.0 vs eL-65.0 gnaps4.2,4.079,2.567,6.662435718792902e-05,0.011031996578786146,True,False
eL-60.0 gnaps3.6 vs eL-60.0 gnaps4.2,1.231,1.053,0.21985255033677803,0.2936853511444304,False,False
eL-60.0 gnaps3.6 vs eL-65.0 gnaps1.8,9.978,11.4,4.2000241610102734e-19,3.002054983303665e-23,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps2.4,5.923,6.745,1.4672243656565413e-08,1.8123684643526302e-10,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.0,3.049,3.882,0.002625340043804906,0.00014307632527051176,False,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.6,0.2902,1.607,0.7719813892009221,0.1097237136969503,False,False
eL-60.0 gnaps3.6 vs eL-65.0 gnaps4.2,2.504,0.8659,0.013126317780431,0.3876428463978251,False,False
eL-60.0 gnaps4.2 vs eL-65.0 gnaps1.8,11.13,12.37,1.8783123176342147e-22,3.9189459300501545e-26,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps2.4,7.122,7.763,2.1646240723825457e-11,5.079918190605375e-13,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.0,4.269,4.921,3.1044169275568175e-05,1.8680174734654998e-06,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.6,0.9404,2.656,0.3482127711311571,0.008582864603075386,False,False
eL-60.0 gnaps4.2 vs eL-65.0 gnaps4.2,1.277,0.186,0.20316887624653845,0.8526442385150331,False,False
eL-65.0 gnaps1.8 vs eL-65.0 gnaps2.4,4.169,4.827,4.6550934249102525e-05,2.8509639611690935e-06,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.0,7.034,7.687,3.575047351956848e-11,7.993908493773455e-13,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.6,10.25,9.887,6.92987420127946e-20,7.650731150604303e-19,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps4.2,12.3,12.2,6.342353678270861e-26,1.2610536465717744e-25,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.0,2.902,2.906,0.004148419051393424,0.004098025134941894,False,False
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.6,6.204,5.171,3.3976880957018644e-09,5.902645270043933e-07,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps4.2,8.343,7.58,1.491108950795432e-14,1.5078265293029312e-12,True,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps3.6,3.336,2.284,0.0010231866656776182,0.02348329157441554,False,False
eL-65.0 gnaps3.0 vs eL-65.0 gnaps4.2,5.52,4.735,1.1075862313265636e-07,4.288020406271379e-06,True,True
eL-65.0 gnaps3.6 vs eL-65.0 gnaps4.2,2.214,2.47,0.02802464136987537,0.014397980686873108,False,False
