,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps1.8 vs eL-60.0 gnaps1.8,1.415,1.894,0.15871399196904443,0.059752398109186186,False,False
eL-55.0 gnaps1.8 vs eL-60.0 gnaps2.4,6.119,8.524,5.312506865627866e-09,4.845253971477879e-15,True,True
eL-55.0 gnaps1.8 vs eL-60.0 gnaps3.0,14.06,15.32,3.366676584499396e-31,5.72765993614302e-35,True,True
eL-55.0 gnaps1.8 vs eL-60.0 gnaps3.6,17.2,22.63,1.6052856351599042e-40,1.068942875119948e-55,True,True
eL-55.0 gnaps1.8 vs eL-60.0 gnaps4.2,20.14,15.0,6.3852195001304675e-49,5.1613367338119845e-34,True,True
eL-55.0 gnaps1.8 vs eL-65.0 gnaps1.8,5.082,4.831,8.935970488389677e-07,2.8004613704505885e-06,True,True
eL-55.0 gnaps1.8 vs eL-65.0 gnaps2.4,33.3,48.87,5.267238111389636e-81,3.551497091147554e-109,True,True
eL-55.0 gnaps1.8 vs eL-65.0 gnaps3.0,57.02,113.9,4.929408736731415e-121,4.1239147995011976e-176,True,True
eL-55.0 gnaps1.8 vs eL-65.0 gnaps3.6,16.6,164.4,9.229766904800005e-39,6.29265090450702e-206,True,True
eL-55.0 gnaps1.8 vs eL-65.0 gnaps4.2,17.69,149.2,6.008029369656539e-42,5.0269578478548095e-198,True,True
eL-55.0 gnaps2.4 vs eL-55.0 gnaps3.0,3.169,3.517,0.0017843684216121507,0.0005465096440379798,False,False
eL-55.0 gnaps2.4 vs eL-55.0 gnaps3.6,5.537,6.241,1.0189857824115484e-07,2.7936415219984746e-09,True,True
eL-55.0 gnaps2.4 vs eL-55.0 gnaps4.2,7.359,8.14,5.512511880641521e-12,5.194844462102896e-14,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps1.8,2.191,5.989,0.02967483481139893,1.0445810365193455e-08,False,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps2.4,2.504,13.32,0.013126317780431,5.592060795506906e-29,False,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.0,10.81,11.77,1.6320523013931137e-21,2.4042855412095384e-24,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.6,14.1,19.54,2.5540776621764936e-31,3.064854893139205e-47,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps4.2,17.22,11.28,1.4032289963939573e-40,6.788570940898985e-23,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps1.8,1.784,1.253,0.07602805051103656,0.21175368735758784,False,False
eL-55.0 gnaps2.4 vs eL-65.0 gnaps2.4,39.09,55.87,1.6879239595134206e-92,1.8706510408147355e-119,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.0,64.83,125.6,4.648348770705297e-131,4.93760251594488e-184,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.6,22.24,180.6,1.1703929530634894e-54,1.3590402563654505e-213,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps4.2,14.53,165.5,1.3137743875993843e-32,1.799745316754913e-206,True,True
eL-55.0 gnaps3.0 vs eL-55.0 gnaps3.6,2.386,2.759,0.018020486695793904,0.006367889324380387,False,False
eL-55.0 gnaps3.0 vs eL-55.0 gnaps4.2,4.239,4.678,3.508228388954225e-05,5.506301761510843e-06,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps1.8,4.959,9.334,1.5719828216247122e-06,2.819558050146764e-17,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps2.4,0.3262,17.28,0.7446339498040115,9.37454671510148e-41,False,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.0,8.201,8.74,3.5752953225144516e-14,1.2503412192316397e-15,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.6,11.58,16.85,8.80438631793401e-24,1.699873798762124e-39,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps4.2,14.82,8.071,1.7811831716462448e-33,7.914983768469948e-14,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps1.8,0.7417,1.663,0.4591897776071445,0.09796982383449651,False,False
eL-55.0 gnaps3.0 vs eL-65.0 gnaps2.4,43.47,61.51,2.393802953349894e-100,6.136394974940571e-127,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.0,70.78,135.1,5.543966140356927e-138,5.947496393234694e-190,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.6,26.67,193.8,5.626675532027876e-66,2.3658360888837602e-219,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps4.2,11.93,179.1,8.040486741091165e-25,6.514250177923522e-213,True,True
eL-55.0 gnaps3.6 vs eL-55.0 gnaps4.2,1.868,1.913,0.06330988263887866,0.057259715355841484,False,False
eL-55.0 gnaps3.6 vs eL-60.0 gnaps1.8,6.979,11.87,4.8833057572593356e-11,1.2127506689224906e-24,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps2.4,2.412,20.29,0.01682152587011333,2.4418476970464757e-49,False,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.0,6.271,6.341,2.3823967252972752e-09,1.640076220525466e-09,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.6,9.716,14.69,2.3505395234627223e-18,4.360838098950159e-33,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps4.2,13.04,5.505,3.867204978611356e-28,1.1919703246857148e-07,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps1.8,2.574,3.875,0.01081882794766414,0.0001469385047226337,False,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps2.4,46.72,65.7,9.171780273467326e-106,4.1625502610121677e-132,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.0,75.26,142.1,7.552354663895778e-143,4.657390336769414e-194,True,True
