,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-60.0 gnaps3.0 vs eL-65.0 gnaps1.8,23.72,41.78,5.424890351197445e-50,4.3143269612880574e-79,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps2.4,21.51,39.44,1.890289869288396e-45,5.754874905530164e-76,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.0,19.08,36.81,3.7697278326670764e-40,2.9120844836885953e-72,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.6,15.64,27.42,4.187332938695822e-32,4.8830602650818234e-57,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps4.2,10.28,13.62,1.1514835342703847e-18,4.0379957641297415e-27,True,True
eL-60.0 gnaps3.6 vs eL-60.0 gnaps4.2,56.47,13.94,8.54035828815518e-96,6.402193810081364e-28,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps1.8,46.5,64.47,5.819614577050095e-85,2.7544472057136363e-103,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps2.4,44.29,62.13,2.78852069509242e-82,3.4471847199941655e-101,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.0,41.86,59.5,3.394181777892482e-79,9.652485635291907e-99,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.6,38.43,50.11,1.4372087985665043e-74,4.16630737308103e-89,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps4.2,33.06,36.31,1.3752343519330684e-66,1.5596253537984098e-71,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps1.8,110.2,78.41,4.142530700711162e-134,1.825034277046847e-114,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps2.4,107.6,76.07,1.0034129503917787e-132,9.967191413371493e-113,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.0,104.8,73.45,3.382256289689364e-131,1.012410057526729e-110,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.6,100.8,64.06,6.056494371184773e-129,6.343518099890602e-103,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps4.2,94.65,50.25,2.6421422136699997e-125,2.9136648104638725e-89,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps2.4,2.209,2.34,0.028860894736822504,0.0207497160786741,False,False
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.0,4.639,4.964,8.181026815700812e-06,2.0465151324993484e-06,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.6,8.074,14.35,3.338176678395612e-13,6.118747743164461e-29,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps4.2,13.44,28.16,1.1415225206222448e-26,2.2806819994850845e-58,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.0,2.431,2.624,0.016369364573623472,0.009691077625828907,False,False
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.6,5.865,12.01,3.286022133246643e-08,4.683009096214857e-23,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps4.2,11.23,25.82,4.490451110879904e-21,4.4989173931359816e-54,True,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps3.6,3.435,9.39,0.000787583689870691,1.9825878143475395e-16,False,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps4.2,8.797,23.2,5.8370982069656864e-15,6.023303010125415e-49,True,True
eL-65.0 gnaps3.6 vs eL-65.0 gnaps4.2,5.363,13.81,3.4518909309225716e-07,1.3516378786522856e-27,True,True
